Date/Time,Time,Humd_Treat,Temp_1,RH_1
1/28/2021 8:51,0:05,High,20.587,89.759
1/28/2021 8:56,0:10,High,22.088,92.411
1/28/2021 9:01,0:15,High,22.088,92.921
1/28/2021 9:06,0:20,High,23.089,91.961
1/28/2021 9:11,0:25,High,23.589,90.968
1/28/2021 9:16,0:30,High,24.09,89.973
1/28/2021 9:21,0:35,High,25.09,89.016
1/28/2021 9:26,0:40,High,25.59,88.017
1/28/2021 9:31,0:45,High,26.09,88.063
1/28/2021 9:36,0:50,High,27.09,87.114
1/28/2021 9:41,0:55,High,27.59,86.112
1/28/2021 9:46,1:00,High,28.089,85.107
1/28/2021 9:51,1:05,High,29.089,84.157
1/28/2021 9:56,1:10,High,29.588,84.218
1/28/2021 10:01,1:15,High,30.088,83.746
1/28/2021 10:06,1:20,High,31.087,83.341
1/28/2021 10:11,1:25,High,31.586,81.791
1/28/2021 10:16,1:30,High,32.086,80.775
1/28/2021 10:21,1:35,High,33.084,79.279
1/28/2021 10:26,1:40,High,33.584,77.145
1/28/2021 10:31,1:45,High,34.083,74.426
1/28/2021 10:36,1:50,High,35.081,70.033
1/28/2021 10:41,1:55,High,35.58,65.468
1/28/2021 10:46,2:00,High,36.079,62.596
1/28/2021 10:51,2:05,High,36.578,60.885
1/28/2021 10:56,2:10,High,37.576,58.03
1/28/2021 11:01,2:15,High,38.075,56.893
1/28/2021 11:06,2:20,High,38.573,55.137
1/28/2021 11:11,2:25,High,39.571,54.68
1/28/2021 11:16,2:30,High,40.069,52.904
1/28/2021 11:21,2:35,High,40.568,51.739
1/28/2021 11:26,2:40,High,41.565,50.647
1/28/2021 11:31,2:45,High,42.063,49.468
1/28/2021 11:36,2:50,High,42.561,47.646
1/28/2021 11:41,2:55,High,43.558,46.529
1/28/2021 11:46,3:00,High,44.056,45.324
1/28/2021 11:51,3:05,High,44.554,44.112
1/28/2021 11:56,3:10,High,45.55,42.971
1/28/2021 12:01,3:15,High,46.048,42.398
1/28/2021 12:06,3:20,High,46.546,41.165
1/28/2021 12:11,3:25,High,47.542,39.338
1/28/2021 12:16,3:30,High,48.04,38.751
1/28/2021 12:21,3:35,High,48.537,36.82
1/28/2021 12:26,3:40,High,49.533,35.624
1/28/2021 12:31,3:45,High,50.03,34.341
1/28/2021 12:36,3:50,High,50.528,33.049
1/28/2021 12:41,3:55,High,51.522,31.819
1/28/2021 12:46,4:00,High,52.02,31.2
1/27/2021 8:54,0:00,High,,
1/27/2021 8:59,0:05,High,20.587,91.823
1/27/2021 9:04,0:10,High,22.088,93.43
1/27/2021 9:09,0:15,High,22.088,91.899
1/27/2021 9:14,0:20,High,22.589,93.46
1/27/2021 9:19,0:25,High,23.589,91.995
1/27/2021 9:24,0:30,High,24.09,90.49
1/27/2021 9:29,0:35,High,24.59,89.494
1/27/2021 9:34,0:40,High,25.59,88.017
1/27/2021 9:39,0:45,High,26.09,88.063
1/27/2021 9:44,0:50,High,27.09,86.587
1/27/2021 9:49,0:55,High,27.59,85.583
1/27/2021 9:54,1:00,High,28.089,84.041
1/27/2021 9:59,1:05,High,29.089,84.157
1/27/2021 10:04,1:10,High,29.588,82.609
1/27/2021 10:09,1:15,High,30.088,82.132
1/27/2021 10:14,1:20,High,31.087,82.264
1/27/2021 10:19,1:25,High,31.586,81.791
1/27/2021 10:24,1:30,High,32.086,80.775
1/27/2021 10:29,1:35,High,33.084,80.375
1/27/2021 10:34,1:40,High,33.584,78.253
1/27/2021 10:39,1:45,High,34.083,76.108
1/27/2021 10:44,1:50,High,35.081,74.019
1/27/2021 10:49,1:55,High,35.58,70.111
1/27/2021 10:54,2:00,High,36.079,64.37
1/27/2021 10:59,2:05,High,36.578,60.287
1/27/2021 11:04,2:10,High,37.576,58.03
1/27/2021 11:09,2:15,High,38.075,55.672
1/27/2021 11:14,2:20,High,38.573,54.523
1/27/2021 11:19,2:25,High,39.571,53.445
1/27/2021 11:24,2:30,High,40.069,55.377
1/27/2021 11:29,2:35,High,40.568,51.114
1/27/2021 11:34,2:40,High,41.565,49.388
1/27/2021 11:39,2:45,High,42.063,47.566
1/27/2021 11:44,2:50,High,42.561,47.646
1/27/2021 11:49,2:55,High,43.558,47.808
1/27/2021 11:54,3:00,High,44.056,45.968
1/27/2021 11:59,3:05,High,44.554,43.463
1/27/2021 12:04,3:10,High,45.052,42.892
1/27/2021 12:09,3:15,High,46.048,43.052
