Date,Humidity,Weevil,Activity,Time,Plate_Temp,Button_Temp,Button_RH,Hours,Hours2
12/9/2020,High,1,E,127,49.1,46.567,40.952,3:44,344
12/9/2020,High,1,F,142,51.2,48.557,35.281,3:59,359
12/9/2020,High,2,F,142,51.2,50.03,41.076,3:59,359
12/9/2020,Low,1,F,112,47.02,46.606,9.814,3:29,329
12/9/2020,Low,2,D,1257,44.98,45.08,12.109,3:14,314
12/9/2020,Low,2,F,112,47.02,47.074,10.812,3:29,329
12/9/2020,Medium,1,D,127,49.1,48.023,9.26,3:44,344
12/9/2020,Medium,1,F,142,51.2,50.017,8.668,3:59,359
12/9/2020,Medium,2,E,127,49.1,48.506,8.879,3:44,344
12/9/2020,Medium,2,F,142,51.2,50.498,8.267,3:59,359
12/11/2020,High,1,F,143,50.89,49.59,41.859,3:59,359
12/11/2020,Low,1,D,113,46.71,46.069,16.344,3:29,329
12/11/2020,Low,1,F,128,48.79,48.059,15.111,3:44,344
12/11/2020,Low,2,D,113,46.71,46.048,16.479,3:29,329
12/11/2020,Low,2,F,128,48.79,48.04,14.526,3:44,344
12/11/2020,Medium,1,F,128,48.79,47.026,17.165,3:44,344
12/11/2020,Medium,2,D,113,46.71,38.036,16.087,3:29,329
12/11/2020,Medium,2,F,128,48.79,40.032,14.804,3:44,344
12/14/2020,High,1,D,152,50.08,49.035,31.466,3:45,345
12/14/2020,High,1,F,208,52.2,51.025,28.285,4:02,402
12/14/2020,High,2,D,152,50.08,49.02,33.522,3:45,345
12/14/2020,High,2,F,208,52.2,51.014,29.656,4:02,402
12/14/2020,Low,1,E,122,46.03,45.578,11.422,3:16,316
12/14/2020,Low,1,F,137,48.21,47.572,10.115,3:31,331
12/14/2020,Low,2,E,122,46.03,45.074,13.413,3:16,316
12/14/2020,Low,2,F,137,48.21,47.064,11.439,3:31,331
12/14/2020,Medium,1,D,122,46.03,45.611,11.201,3:16,316
12/14/2020,Medium,1,F,137,48.21,47.601,9.892,3:31,331
12/14/2020,Medium,2,D,122,46.03,45.516,12.365,3:16,316
12/14/2020,Medium,2,F,137,48.21,47.509,11.049,3:31,331
12/16/2020,High,1,E,1245,49.76,47.542,37.339,3:49,349
12/16/2020,High,1,F,1255,50.97,48.537,32.762,3:59,359
12/16/2020,High,2,E,1245,49.76,48.596,41.021,3:49,349
12/16/2020,High,2,F,1255,50.97,50.087,39.923,3:59,359
12/16/2020,Low,1,F,1224,46.88,46.077,10.73,3:28,328
12/16/2020,Low,2,E,1234,48.25,47.064,10.718,3:38,338
12/16/2020,Low,2,F,1245,49.76,48.557,10.114,3:49,349
12/16/2020,Medium,1,D,1204,44.04,42.027,14.248,3:08,308
12/16/2020,Medium,1,E,1214,45.5,43.522,12.19,3:18,318
12/16/2020,Medium,1,F,1224,46.88,45.018,12.322,3:28,328
12/17/2020,Low,1,D,112,45.63,44.033,8.945,3:12,312
12/17/2020,Low,1,F,124,47.01,45.53,8.333,3:24,324
12/17/2020,Low,2,D,112,45.63,44.581,9.139,3:12,312
12/17/2020,Low,2,E,124,47.01,46.077,8.52,3:24,324
12/17/2020,Low,2,F,134,48.41,47.074,7.112,3:34,334
12/17/2020,Medium,1,D,134,48.41,46.567,24.789,3:34,334
12/17/2020,Medium,1,F,144,49.68,48.059,15.111,3:44,344
12/17/2020,Medium,2,D,112,45.63,44.117,44.263,3:12,312
12/17/2020,Medium,2,E,124,47.01,45.611,41.207,3:24,324
12/17/2020,Medium,2,F,134,48.41,46.606,38.02,3:34,334
1/21/2021,Low,1,D,1131,44.14,42.525,25.051,2:57,257
1/21/2021,Low,1,E,1141,45.5,44.021,23.808,3:07,307
1/21/2021,Low,1,F,1152,46.94,45.516,21.833,3:18,318
1/21/2021,Low,2,D,1152,46.94,44.532,23.269,3:18,318
1/21/2021,Low,2,E,1202,48.26,45.53,23.382,3:28,328
1/21/2021,Low,2,F,1212,49.64,47.026,22.85,3:38,339
1/21/2021,Medium,1,D,1152,46.94,45.571,42.752,3:18,318
1/21/2021,Medium,1,F,1202,48.26,47.064,39.055,3:28,328
1/21/2021,Medium,2,F,1202,48.26,47.103,36.745,3:28,328
1/22/2021,High,1,D,125,47.03,45.571,47.905,3:17,317
1/22/2021,High,1,E,145,49.78,48.059,43.816,3:37,337
1/22/2021,High,1,F,155,51.11,49.551,42.762,3:47,347
1/22/2021,Low,1,D,135,48.32,46.606,19.262,3:27,327
1/22/2021,Low,1,F,145,49.78,48.098,17.976,3:37,337
1/22/2021,Low,2,D,1235,40.11,39.072,30.845,2:29,229
1/22/2021,Low,2,F,1245,41.51,40.069,28.952,2:39,239
1/22/2021,Medium,1,D,115,45.63,44.532,32.217,3:07,307
1/22/2021,Medium,1,F,125,47.03,46.029,25.535,3:17,317
1/22/2021,Medium,2,D,115,45.63,44.581,33.92,3:07,307
1/22/2021,Medium,2,E,125,47.03,46.077,27.215,3:17,317
1/22/2021,Medium,2,F,135,48.32,47.572,21.738,3:27,327
1/25/2021,Low,1,F,223,47.96,47.509,25.64,3:33,333
1/25/2021,Low,2,D,213,46.55,46.048,27.646,3:23,323
1/25/2021,Low,2,F,223,47.96,47.542,25.76,3:33,333
1/25/2021,Medium,1,E,213,46.55,46.069,31.559,3:23,323
1/25/2021,Medium,1,F,223,47.96,47.562,29.037,3:33,333
1/25/2021,Medium,2,D,153,43.79,43.584,45.771,3:03,303
1/25/2021,Medium,2,E,203,45.18,45.08,38.053,3:13,313
1/25/2021,Medium,2,F,213,46.55,46.575,32.826,3:23,323
1/27/2021,High,2,D,1219,47.97,45.516,43.298,3:25,325
1/27/2021,High,2,E,1229,49.39,46.513,40.773,3:35,335
1/27/2021,High,2,F,1239,50.74,48.007,38.288,3:45,345
1/27/2021,Low,1,D,1159,45.21,44.615,19.768,3:05,305
1/27/2021,Low,1,F,1209,46.6,46.108,17.776,3:15,315
1/27/2021,Low,2,D,1159,51.21,44.532,18.341,3:05,305
1/27/2021,Low,2,E,1209,46.6,46.029,16.35,3:15,315
1/27/2021,Low,2,F,1219,47.97,47.525,16.495,3:25,325
1/27/2021,Medium,1,D,1209,46.6,46.077,29.305,3:15,315
1/27/2021,Medium,1,F,1219,47.97,47.572,26.699,3:25,325
1/27/2021,Medium,2,D,1149,43.83,43.082,35.166,2:55,255
1/27/2021,Medium,2,E,1159,45.21,44.576,26.613,3:05,305
1/27/2021,Medium,2,F,1209,46.6,45.571,21.904,3:15,315
1/28/2021,High,1,D,1220,48.74,48.04,38.751,3:34,334
1/28/2021,High,1,E,1240,51.5,50.528,33.049,3:54,354
1/28/2021,High,1,F,1250,52.87,52.02,31.2,4:04,404
1/28/2021,High,2,D,1210,47.35,45.571,46.625,3:24,324
1/28/2021,High,2,E,1220,48.74,46.567,44.861,3:34,334
1/28/2021,High,2,F,1230,50.12,48.059,43.816,3:44,344
1/28/2021,Low,2,D,1104,38.26,37.64,14.795,2:18,218
1/28/2021,Low,2,F,1119,40.38,40.092,13.824,2:33,233
1/28/2021,Medium,1,E,1220,48.74,48.007,7.335,3:34,334
1/28/2021,Medium,1,F,1230,50.12,49.502,7.439,3:44,344
1/28/2021,Medium,2,D,1210,47.35,45.031,9.026,3:24,324
1/28/2021,Medium,2,E,1220,48.74,46.527,8.41,3:34,334
1/28/2021,Medium,2,F,1230,48.74,48.023,7.784,3:44,344
2/3/2021,High,1,D,306,48.2,47.044,45.376,4:12,412
2/3/2021,High,1,E,316,49.55,48.04,40.175,4:22,422
2/3/2021,High,1,F,326,50.95,49.533,38.367,4:32,432
2/3/2021,High,2,F,343,53.22,51.522,34.371,4:49,449
2/5/2021,High,1,E,1250,46.83,46.069,43.482,3:14,314
2/5/2021,High,1,F,100,48.2,47.562,41.769,3:24,324
2/5/2021,High,2,F,130,52.35,51.54,36.416,3:54,354
2/10/2021,High,1,E,105,47.89,47.562,45.679,3:23,323
2/10/2021,High,1,F,115,49.29,48.557,43.901,3:33,333
2/10/2021,High,2,D,105,47.89,46.014,44.046,3:23,323
2/10/2021,High,2,F,115,49.29,47.011,40.852,3:33,333
2/10/2021,High,3,F,135,52.08,51.558,40.442,3:53,353
2/11/2021,High,1,D,410,47.75,46.513,46.784,3:46,346
2/11/2021,High,1,F,420,49.14,47.509,44.965,3:56,356
