Unique ID,Light,Biomass,Treatment,Escape_Success
1,low,small,Low_Small,1
2,low,small,Low_Small,1
3,low,small,Low_Small,1
4,low,small,Low_Small,0.95
5,low,small,Low_Small,0.9
6,low,small,Low_Small,1
7,low,small,Low_Small,0.95
8,low,small,Low_Small,1
9,low,medium,Low_Medium,0.9
10,low,medium,Low_Medium,1
11,low,medium,Low_Medium,1
12,low,medium,Low_Medium,1
13,low,medium,Low_Medium,1
14,low,medium,Low_Medium,0.8
15,low,medium,Low_Medium,0.4
16,low,medium,Low_Medium,0.95
17,low,large,Low_Large,0.15
18,low,large,Low_Large,0.1
19,low,large,Low_Large,0.1
20,low,large,Low_Large,0
21,low,large,Low_Large,0.2
22,low,large,Low_Large,0.15
23,low,large,Low_Large,0.1
24,low,large,Low_Large,0.05
25,medium,small,Medium_Small,0.8
26,medium,small,Medium_Small,1
27,medium,small,Medium_Small,0.9
28,medium,small,Medium_Small,0.95
29,medium,small,Medium_Small,0.85
30,medium,small,Medium_Small,0.85
31,medium,small,Medium_Small,0.9
32,medium,small,Medium_Small,0.9
33,medium,medium,Medium_Medium,1
34,medium,medium,Medium_Medium,0.95
35,medium,medium,Medium_Medium,1
36,medium,medium,Medium_Medium,1
37,medium,medium,Medium_Medium,0.85
38,medium,medium,Medium_Medium,0.85
39,medium,medium,Medium_Medium,1
40,medium,medium,Medium_Medium,0.9
41,medium,large,Medium_Large,1
42,medium,large,Medium_Large,0.2
43,medium,large,Medium_Large,0.15
44,medium,large,Medium_Large,0.05
45,medium,large,Medium_Large,0.6
46,medium,large,Medium_Large,0.05
47,medium,large,Medium_Large,0.25
48,medium,large,Medium_Large,0.15
49,high,small,High_Small,0.8
50,high,small,High_Small,0.8
51,high,small,High_Small,0.7
52,high,small,High_Small,0.85
53,high,small,High_Small,0.7
54,high,small,High_Small,0.85
55,high,small,High_Small,1
56,high,small,High_Small,0.95
57,high,medium,High_Medium,1
58,high,medium,High_Medium,0.95
59,high,medium,High_Medium,0.9
60,high,medium,High_Medium,0.95
61,high,medium,High_Medium,0.8
62,high,medium,High_Medium,0.85
63,high,medium,High_Medium,1
64,high,medium,High_Medium,1
65,high,large,High_Large,1
66,high,large,High_Large,1
67,high,large,High_Large,0.9
68,high,large,High_Large,0.95
69,high,large,High_Large,0.95
70,high,large,High_Large,0.8
71,high,large,High_Large,0.95
72,high,large,High_Large,0.95
